iter	Passed	Remaining
427	1405	13625
428	1406	13603
429	1410	13602
430	1412	13583
431	1413	13563
432	1414	13538
433	1415	13515
434	1417	13496
435	1418	13473
436	1419	13451
437	1421	13430
438	1422	13409
439	1425	13407
440	1427	13387
441	1428	13364
442	1429	13343
443	1431	13323
444	1432	13302
445	1433	13282
446	1435	13259
447	1436	13237
448	1437	13218
449	1439	13197
450	1440	13178
451	1443	13169
452	1444	13149
453	1445	13130
454	1447	13110
455	1448	13092
456	1450	13074
457	1451	13053
458	1452	13033
459	1454	13015
460	1455	12999
461	1459	12997
462	1461	12981
463	1463	12970
464	1464	12953
465	1466	12933
466	1467	12916
467	1469	12899
468	1470	12877
469	1473	12876
470	1475	12860
471	1476	12841
472	1477	12822
473	1479	12805
474	1481	12790
475	1482	12771
476	1483	12752
477	1484	12730
478	1485	12711
479	1487	12695
480	1491	12699
481	1492	12681
482	1494	12663
483	1495	12645
484	1496	12627
485	1497	12609
486	1499	12592
487	1500	12574
488	1502	12558
489	1504	12547
490	1505	12530
491	1507	12517
492	1509	12501
493	1510	12484
494	1511	12467
495	1513	12451
496	1514	12435
497	1515	12416
498	1518	12406
499	1520	12400
500	1522	12385
501	1523	12369
502	1525	12354
503	1526	12337
504	1528	12322
505	1529	12307
506	1531	12292
507	1532	12276
508	1534	12263
509	1537	12257
510	1538	12241
511	1540	12228
512	1542	12217
513	1543	12202
514	1545	12189
515	1547	12178
516	1549	12164
517	1551	12153
518	1553	12150
519	1556	12141
520	1557	12127
521	1559	12112
522	1560	12096
523	1561	12080
524	1562	12063
525	1564	12047
526	1566	12036
527	1568	12028
528	1569	12013
529	1571	11997
530	1572	11984
531	1574	11969
532	1575	11954
533	1576	11939
534	1578	11925
535	1579	11909
536	1581	11898
537	1583	11890
538	1586	11884
539	1587	11871
540	1589	11854
541	1590	11839
542	1591	11824
543	1593	11811
544	1594	11795
545	1596	11784
546	1598	11779
547	1600	11763
548	1601	11747
549	1602	11734
550	1604	11720
551	1605	11705
552	1606	11688
553	1607	11674
554	1609	11662
555	1610	11647
556	1613	11647
557	1615	11633
558	1616	11622
559	1618	11607
560	1619	11594
561	1620	11580
562	1622	11566
563	1623	11552
564	1624	11538
565	1626	11526
566	1628	11516
567	1630	11505
568	1631	11492
569	1632	11477
570	1634	11464
571	1635	11454
572	1637	11440
573	1638	11428
574	1640	11417
575	1641	11405
576	1645	11408
577	1647	11400
578	1649	11387
579	1650	11374
580	1651	11361
581	1653	11349
582	1654	11335
583	1655	11322
584	1657	11311
585	1659	11303
586	1661	11294
587	1662	11281
588	1664	11268
589	1665	11256
590	1667	11243
591	1668	11231
592	1669	11218
593	1671	11206
594	1672	11192
595	1675	11194
596	1678	11188
597	1679	11176
